municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
SABANALARGA,2017,10,1,5,2,0,2,0,0,4,0,0,0,0,6,10,0,5,5,0,10,5,5,10,0,0,0,0,8,2,0,1,0,9,0,2,0,1,2,1,2,0,0,0,1,1,0
SABANALARGA,2018,99,39,17,1,0,25,1,16,32,1,0,3,2,61,98,1,27,72,0,99,55,44,99,0,0,0,0,94,5,0,11,0,88,1,1,2,0,1,3,2,8,7,10,15,21,28
SABANALARGA,2019,321,138,25,3,0,101,2,52,87,1,4,5,5,219,318,3,89,232,0,321,183,138,321,0,0,0,0,229,91,1,41,0,280,30,19,7,10,18,15,35,27,28,17,35,37,43
SABANALARGA,2020,122,61,9,3,0,35,0,14,37,0,2,2,7,74,117,5,22,100,0,122,65,57,122,0,0,0,0,105,12,5,10,0,112,31,16,6,2,0,2,0,4,7,7,16,9,22
SABANALARGA,2021,174,83,25,4,0,35,2,25,49,0,6,1,10,108,168,6,56,118,0,174,85,89,174,0,0,0,0,163,5,6,19,0,155,9,3,0,1,2,1,4,12,14,15,48,39,26
SABANALARGA,2022,311,155,30,7,4,82,1,32,98,0,2,6,1,204,297,14,112,199,0,311,150,161,311,0,0,0,0,294,13,4,214,0,97,22,8,5,7,6,20,40,46,41,24,42,25,25
SABANALARGA,2023,56,18,18,4,2,10,0,4,23,0,0,0,2,31,54,2,27,29,0,56,22,34,56,0,0,0,0,44,9,3,24,0,32,14,8,3,5,2,2,1,5,4,3,4,2,3
SANTA LUCÍA,2019,3,1,0,0,0,2,0,0,0,0,0,0,0,3,3,0,2,1,0,3,2,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2
SANTA LUCÍA,2020,17,7,1,0,0,8,0,1,1,0,0,1,2,13,17,0,5,12,0,17,5,12,0,0,0,0,17,16,1,0,6,0,11,1,0,0,0,3,3,1,4,4,1,0,0,0
SANTA LUCÍA,2021,8,1,1,0,0,1,0,5,0,0,0,0,0,8,8,0,8,0,0,8,5,3,0,0,0,0,8,6,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,1,2
SANTA LUCÍA,2022,11,3,1,1,0,1,0,5,0,0,0,1,0,10,11,0,10,1,0,11,4,7,0,0,0,0,11,11,0,0,1,0,10,3,5,1,1,0,0,0,0,0,0,0,0,1
SANTA LUCÍA,2023,2,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,1,0,2,1,1,0,0,0,0,2,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
