municipio,humedad_relativa,año
EL CARMEN DE CHUCURÍ,89.23,2017
EL GUACAMAYO,90.85,2017
EL PEÑÓN,88.37,2017
EL PLAYÓN,84.98,2017
ENCINO,89.82,2017
ENCISO,85.47,2017
FLORIÁN,86.3,2017
FLORIDABLANCA,,2017
GALÁN,90.11,2017
GÁMBITA,87.97,2017
GIRÓN,89.64,2017
GUACA,88.1,2017
GUADALUPE,96.58,2017
GUAPOTÁ,,2017
GUAVATÁ,,2017
GÜEPSA,88.59,2017
HATO,92.58,2017
JESÚS MARÍA,,2017
JORDÁN,93.83,2017
LA BELLEZA,88.63,2017
LANDÁZURI,90.06,2017
LA PAZ,90.29,2017
LEBRIJA,87.15,2017
LOS SANTOS,92.31,2017
MACARAVITA,82.31,2017
MÁLAGA,,2017
MATANZA,86.91,2017
MOGOTES,92.05,2017
MOLAGAVITA,88.77,2017
OCAMONTE,,2017
OIBA,96.06,2017
