municipio,año,temp_max,temp_min,humedad,precipitacion,dist_rio_1,dist_lag_1
PALMAR DE VARELA,2018,31.27437400817871,24.614431381225582,89.84935760498047,469218.2784120514,0.692781004963048,2.75998823289286
PALMAR DE VARELA,2019,31.535343170166016,24.86656951904297,89.57218170166016,434414.4670962634,0.692781004963048,2.75998823289286
PALMAR DE VARELA,2020,31.22248077392578,24.686717987060547,89.67851257324219,546243.9351621221,0.692781004963048,2.75998823289286
PALMAR DE VARELA,2021,31.048002243041992,24.517593383789062,89.56393432617188,547501.4135851925,0.692781004963048,2.75998823289286
PALMAR DE VARELA,2022,31.016101837158203,24.3275089263916,90.39368438720705,689034.0819408143,0.692781004963048,2.75998823289286
PALMAR DE VARELA,2023,31.743896484375,24.893367767333984,89.81917572021484,469017.0736795909,0.692781004963048,2.75998823289286
PIOJÓ,2017,10.290121714274088,8.089937210083008,29.72025807698568,111396.03299480597,3.430433480718549,7.954901154354912
PIOJÓ,2018,10.387018203735352,8.080661137898764,29.361918131510414,80450.63048380695,3.430433480718549,7.954901154354912
PIOJÓ,2019,10.54228655497233,8.170105616251627,29.061325073242188,71449.24906312603,3.430433480718549,7.954901154354912
PIOJÓ,2020,10.3701171875,8.108251571655273,29.300371805826824,100219.27867497578,3.430433480718549,7.954901154354912
PIOJÓ,2021,10.233508427937826,8.034191131591797,29.39288584391276,104672.61365131156,3.430433480718549,7.954901154354912
PIOJÓ,2022,10.162036259969076,7.981449762980143,29.8715337117513,149191.10116168245,3.430433480718549,7.954901154354912
PIOJÓ,2023,10.479076385498049,8.150476455688477,29.469561258951824,91804.1425571866,3.430433480718549,7.954901154354912
POLONUEVO,2017,30.968159993489586,24.494722366333008,90.10630289713542,550048.4390133864,0.058357962997487,10.99447512538042
POLONUEVO,2018,30.88600730895996,24.42803382873535,89.9574686686198,469218.2784120513,0.058357962997487,10.99447512538042
POLONUEVO,2019,31.137488047281902,24.688162485758465,89.60757700602214,434414.46709626337,0.058357962997487,10.99447512538042
POLONUEVO,2020,30.835818608601887,24.50280825297038,89.74022674560547,546243.9351621221,0.058357962997487,10.99447512538042
POLONUEVO,2021,30.66786193847656,24.328123092651367,89.59716033935547,547501.4135851925,0.058357962997487,10.99447512538042
POLONUEVO,2022,30.63712310791016,24.13201332092285,90.64460754394533,689034.0819408143,0.058357962997487,10.99447512538042
POLONUEVO,2023,31.33846155802409,24.71581013997396,89.91937510172527,469017.0736795909,0.058357962997487,10.99447512538042
PONEDERA,2017,31.66147232055664,24.43119239807129,91.33843231201172,470803.0688101216,0.099086398790624,5.083966367469738
PONEDERA,2018,31.60522079467773,24.37114715576172,91.27904510498048,401841.6651698172,0.099086398790624,5.083966367469738
PONEDERA,2019,31.8414306640625,24.623462677001957,90.99451446533205,370096.175985614,0.099086398790624,5.083966367469738
PONEDERA,2020,31.45893669128418,24.423748016357425,91.16708374023438,463881.836428481,0.099086398790624,5.083966367469738
PONEDERA,2021,31.32400703430176,24.263996124267575,91.09886169433594,460520.2844132952,0.099086398790624,5.083966367469738
PONEDERA,2022,31.194900512695312,24.06976127624512,91.96289825439452,576138.8706479906,0.099086398790624,5.083966367469738
PONEDERA,2023,32.07381057739258,24.637187957763672,91.1584930419922,404605.2818859032,0.099086398790624,5.083966367469738
PUERTO COLOMBIA,2017,29.94731330871582,25.25789451599121,87.18866729736328,356540.8429804077,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2018,29.66863250732422,25.13245391845703,87.10991668701172,270510.114852288,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2019,29.775678634643555,25.24420928955078,87.46696472167969,295433.5570295216,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2020,29.77984046936035,25.16513061523437,87.41748809814453,400126.4269212719,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2021,29.59476089477539,25.04023742675781,86.90325164794922,374000.7461156257,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2022,29.63327980041504,24.839757919311523,87.4440689086914,539119.4295429203,1.902684311740348,1.652850517266362
PUERTO COLOMBIA,2023,30.08409118652344,25.40889358520508,87.37997436523438,321774.9037373719,1.902684311740348,1.652850517266362
REPELÓN,2017,15.57221794128418,12.361727714538574,44.25275802612305,182379.74798240076,1.438214320297147,1.562069763225594
REPELÓN,2018,15.63215160369873,12.322629928588867,44.174598693847656,151961.03076348567,1.438214320297147,1.562069763225594
REPELÓN,2019,15.868289947509766,12.490708351135254,43.830074310302734,133156.602596959,1.438214320297147,1.562069763225594
REPELÓN,2020,15.644438743591309,12.40271282196045,43.87705993652344,156699.1473367224,1.438214320297147,1.562069763225594
REPELÓN,2021,15.4773530960083,12.275235176086426,44.0449333190918,174491.31047648925,1.438214320297147,1.562069763225594
REPELÓN,2022,15.336562156677246,12.18570613861084,44.51401901245117,219375.5180246536,1.438214320297147,1.562069763225594
REPELÓN,2023,15.859382629394531,12.462479591369627,44.09383392333984,153603.81339071548,1.438214320297147,1.562069763225594
SABANAGRANDE,2017,31.09603500366211,24.80615997314453,89.31038665771484,550048.4390133864,0.574154076286911,1.54405300391256
SABANAGRANDE,2018,31.01349830627441,24.73931312561035,89.15384674072266,469218.2784120514,0.574154076286911,1.54405300391256
SABANAGRANDE,2019,31.266157150268555,25.000059127807617,88.78585815429688,434414.4670962634,0.574154076286911,1.54405300391256
SABANAGRANDE,2020,30.962995529174805,24.81427764892578,88.92545318603516,546243.9351621221,0.574154076286911,1.54405300391256
SABANAGRANDE,2021,30.79433250427246,24.639163970947266,88.77489471435547,547501.4135851925,0.574154076286911,1.54405300391256
SABANAGRANDE,2022,30.763450622558597,24.442588806152344,89.87654876708984,689034.0819408143,0.574154076286911,1.54405300391256
SABANAGRANDE,2023,31.46807098388672,25.02777099609375,89.1137924194336,469017.0736795909,0.574154076286911,1.54405300391256
SABANALARGA,2017,30.95348358154297,24.19345092773437,90.61599731445312,442118.2689989021,0.705266525333551,8.32490008654472
SABANALARGA,2018,31.05596160888672,24.14867401123047,90.1188735961914,355285.0849317361,0.705266525333551,8.32490008654472
SABANALARGA,2019,31.42195701599121,24.401391983032227,89.59425354003906,324381.1071428207,0.705266525333551,8.32490008654472
SABANALARGA,2020,31.00436019897461,24.223953247070312,89.94178009033203,423450.8855935247,0.705266525333551,8.32490008654472
SABANALARGA,2021,30.710174560546875,24.03385162353516,89.98338317871094,430759.6272695636,0.705266525333551,8.32490008654472
