municipio,año,periodo,temp_media,humedad,precipitacion
CAMPO DE LA CRUZ,2021,9,26.964253452846005,92.84629494803292,303.17999590933323
CAMPO DE LA CRUZ,2021,10,27.292099979945615,92.26818929399762,171.21000013500452
CAMPO DE LA CRUZ,2021,11,26.80085852486749,92.18393652779716,203.15999880433083
CAMPO DE LA CRUZ,2021,12,27.34719783238004,91.93681907653809,179.31000052392483
CAMPO DE LA CRUZ,2021,13,28.183963834322437,89.83079264714168,80.26000025495887
CAMPO DE LA CRUZ,2021,14,28.15454508463543,87.90770975748698,19.0
CAMPO DE LA CRUZ,2022,1,28.19378433227541,87.7088236127581,228.25000190734863
CAMPO DE LA CRUZ,2022,2,28.683989824567544,85.156005859375,67.70999993383884
CAMPO DE LA CRUZ,2022,3,29.142515890938913,84.52003206525531,147.40000001341105
CAMPO DE LA CRUZ,2022,4,28.76912187848774,85.62875311715263,207.89000012725592
CAMPO DE LA CRUZ,2022,5,28.192354365757556,88.96584865025112,171.72999960184097
CAMPO DE LA CRUZ,2022,6,27.57186878749304,90.625333241054,303.4800024032593
CAMPO DE LA CRUZ,2022,7,27.79076102120538,91.5905088697161,186.32000145316124
CAMPO DE LA CRUZ,2022,8,27.944821929931663,91.9004135131836,297.8500001132488
CAMPO DE LA CRUZ,2022,9,27.823474775041866,93.03001867021833,238.42999675869942
CAMPO DE LA CRUZ,2022,10,27.067709132603255,92.6872125353132,249.49999820813537
CAMPO DE LA CRUZ,2022,11,26.63272792271207,93.43588611057827,248.72999906539917
CAMPO DE LA CRUZ,2022,12,26.54551249912809,92.68243190220424,211.15999941527843
CAMPO DE LA CRUZ,2022,13,27.606341868433482,90.46864318847656,53.91999997198582
CAMPO DE LA CRUZ,2023,1,28.05693588256838,87.83929879324776,55.56999986618757
CAMPO DE LA CRUZ,2023,2,28.613502393450073,81.7685410635812,36.03999999910593
CAMPO DE LA CRUZ,2023,3,28.534716905866368,85.1861139025007,84.04999991692603
CAMPO DE LA CRUZ,2023,4,29.09548176356726,83.02700860159737,189.7000019773841
CAMPO DE LA CRUZ,2023,5,29.470335170200915,86.39804404122489,164.19999976083636
CAMPO DE LA CRUZ,2023,6,28.62401351928713,89.87660952976772,220.8500011563301
CAMPO DE LA CRUZ,2023,7,29.080940682547453,89.61078207833427,206.4999981224537
CAMPO DE LA CRUZ,2023,8,29.70432761056085,89.29823848179409,118.37999969907105
CAMPO DE LA CRUZ,2023,9,28.636551339285734,91.6361380985805,175.819999858737
CAMPO DE LA CRUZ,2023,10,28.468870871407667,92.44793728419712,192.4600003361702
CAMPO DE LA CRUZ,2023,11,27.601995631626693,92.62398529052734,238.4799997806549
CAMPO DE LA CRUZ,2023,12,27.839571162632552,91.98882702418736,125.10000105947256
CAMPO DE LA CRUZ,2023,13,29.010800276131484,88.03903145625674,225.98999997973442
CANDELARIA,2017,1,28.065748378208728,87.77165739876884,29.19000005722046
CANDELARIA,2017,2,28.674451991489978,86.15391404288155,116.65000000596046
CANDELARIA,2017,3,28.5217839922224,84.55987576075962,143.75999996811152
CANDELARIA,2017,4,29.10000000000002,86.25282314845494,232.5599987320602
CANDELARIA,2017,5,28.118268585205094,89.8578575679234,255.01000395417213
CANDELARIA,2017,6,28.12834974016464,90.32927131652832,212.5100009739399
CANDELARIA,2017,7,28.35821958269393,90.69521795000348,169.77999997138977
CANDELARIA,2017,8,28.074359784807502,92.61393656049457,205.02999904751778
CANDELARIA,2017,9,27.38754152570454,94.11464772905622,206.26999701559544
CANDELARIA,2017,10,27.2041216169085,94.3021820613316,161.35999953746796
CANDELARIA,2017,11,27.646280452183337,92.62358883449009,238.5100046545267
CANDELARIA,2017,12,27.19827423095705,92.59394373212542,191.48999574780464
CANDELARIA,2017,13,27.89791996396823,89.77061830717942,189.98000214993954
CANDELARIA,2018,1,27.672719705515917,90.77267719137258,64.89999977685511
CANDELARIA,2018,2,28.261916460309727,84.07433319091797,0.7100000120699403
CANDELARIA,2018,3,28.603255571637852,85.89039393833706,11.439999932423234
CANDELARIA,2018,4,28.575742885044658,86.79278237479073,79.30000048317015
CANDELARIA,2018,5,27.72893785749165,90.21340996878487,222.41999995708466
CANDELARIA,2018,6,27.985338374546615,91.4258392878941,188.97999877482653
CANDELARIA,2018,7,28.436477552141476,90.14339937482562,80.32999960891902
CANDELARIA,2018,8,28.423295593261738,90.93738065447126,117.15000058710575
CANDELARIA,2018,9,28.073247528076195,92.19998822893415,143.48999947309494
CANDELARIA,2018,10,27.401610129220163,93.59379032679966,234.51000064611435
CANDELARIA,2018,11,27.019500078473794,93.1516889844622,167.84999957680702
CANDELARIA,2018,12,27.76685594831196,92.03120722089496,99.09000066295266
CANDELARIA,2018,13,27.922513035365533,90.1727534702846,2.789999971166252
CANDELARIA,2019,1,27.95801644160832,88.0314967714507,135.65000215172768
CANDELARIA,2019,2,28.718486676897335,84.98956707545689,137.56000101566315
