municipio,año,fecha,temp_min_C,temp_max_C,temp_media_C,latitud,longitud
BARANOA,2022,2022-06-14,23.752557373046898,27.502709960937523,25.62763366699221,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-14,24.908624267578148,28.271905517578148,26.590264892578148,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-14,24.485894775390648,28.297570800781273,26.39173278808596,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-14,23.833276367187523,28.853295898437523,26.343286132812523,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-14,24.250451660156273,27.699639892578148,25.97504577636721,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-14,24.194424777560755,27.68610026041671,25.94026251898873,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-14,24.271152750651083,28.741916910807333,26.50653483072921,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-14,25.296838378906273,28.460168457031273,26.878503417968773,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-14,24.586999511718773,28.086175537109398,26.336587524414085,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-14,24.176278121383177,27.675330946180623,25.9258045337819,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-14,24.326796468098962,27.860894775390648,26.093845621744805,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-14,24.505700683593716,28.245507812500023,26.37560424804687,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-14,24.409143066406273,28.490930175781273,26.450036621093773,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-14,24.580042634186952,27.954892306857687,26.26746747052232,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-14,24.640832519531273,27.993798828125023,26.317315673828148,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-14,24.248864746093716,27.718408203125023,25.98363647460937,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-14,25.022607421875023,28.307143147786462,26.664875284830742,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-14,24.326796468098962,27.860894775390648,26.093845621744805,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-14,24.339349365234398,29.378656005859398,26.859002685546898,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-14,24.862359619140648,28.189355468750023,26.525857543945335,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-14,24.224023437500023,28.142999267578148,26.183511352539085,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-14,24.083957926432333,27.640252685546898,25.862105305989616,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-15,23.750115966796898,30.049859619140648,26.899987792968773,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-15,22.972070312500023,29.208734130859398,26.09040222167971,10.793293658378715,-74.92219640305643
