municipio,año,fecha,temp_max,latitud,longitud
PALMAR DE VARELA,2019,2019-04-12,305.44793701171875,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-12,305.35338564272274,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-12,304.9848225911458,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-12,306.25274658203125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-12,303.0119934082031,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-12,306.09802811234084,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-12,305.09698486328125,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-12,305.6971130371094,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2019,2019-04-12,306.9746500651042,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-12,304.9848225911458,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-12,304.4617614746094,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-12,306.7864990234375,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-12,303.9852600097656,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-12,305.18187459309894,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-13,303.333251953125,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-13,304.6252746582031,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-13,307.3797607421875,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-13,307.0832824707031,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-13,303.9093322753906,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-13,305.5380554199219,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-13,305.5825907389323,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-13,304.56201171875,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-13,307.70361328125,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-13,305.67987060546875,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-13,305.48796929253473,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-13,305.2094116210937,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-13,306.5600891113281,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-13,303.0121154785156,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-13,306.3842196994358,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-13,305.3230895996094,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-13,305.866455078125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2019,2019-04-13,307.4181823730469,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-13,305.2094116210937,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-13,304.45361328125,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-13,307.1711730957031,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-13,303.7811279296875,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-13,305.34326171875,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-14,303.8451232910156,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-14,305.1612854003906,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-14,306.951416015625,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-14,306.6756286621094,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-14,304.36688232421875,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-14,305.7669677734375,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-14,305.927995469835,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-14,305.0599873860677,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-14,306.5386962890625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-14,306.2577209472656,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-14,305.8104270652488,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-14,305.76805623372394,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-14,306.6670227050781,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-14,303.5126953125,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-14,306.2491308141637,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-14,305.8851623535156,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-14,306.2807006835937,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2019,2019-04-14,306.7483317057292,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2019,2019-04-14,305.76805623372394,10.744048200714978,-74.79479581261772
SOLEDAD,2019,2019-04-14,304.92791748046875,10.906909741834337,-74.77842447604834
SUAN,2019,2019-04-14,306.7548828125,10.310850238176537,-74.90713309116475
TUBARÁ,2019,2019-04-14,304.3395690917969,10.907060348938533,-74.98448392990626
USIACURÍ,2019,2019-04-14,305.73631795247394,10.740522656584362,-74.98267412624779
BARRANQUILLA,2019,2019-04-15,303.32177734375,10.98152771823087,-74.82774915964693
BARANOA,2019,2019-04-15,303.6998291015625,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2019,2019-04-15,305.41558837890625,10.402620855645086,-74.87840832085742
CANDELARIA,2019,2019-04-15,305.2095642089844,10.489019585448387,-74.87756539446083
GALAPA,2019,2019-04-15,303.8841552734375,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2019,2019-04-15,304.4241943359375,10.823092520111464,-75.07842405936859
LURUACO,2019,2019-04-15,304.48467339409723,10.635031161141915,-75.15402741021481
MALAMBO,2019,2019-04-15,304.2217203776042,10.848289285861629,-74.8061750526255
MANATÍ,2019,2019-04-15,305.38140869140625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2019,2019-04-15,304.6724853515625,10.694812386323434,-74.77015084732946
PIOJÓ,2019,2019-04-15,304.39911001699943,10.740779525620145,-75.14364579776823
POLONUEVO,2019,2019-04-15,304.2413330078125,10.767401673530337,-74.85414835065527
PONEDERA,2019,2019-04-15,305.11767578125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2019,2019-04-15,303.00018310546875,11.00468737217774,-74.90650030692068
REPELÓN,2019,2019-04-15,304.8691485369647,10.507568372875568,-75.12187933511093
SABANAGRANDE,2019,2019-04-15,304.3516845703125,10.798940150928054,-74.76879660339148
SABANALARGA,2019,2019-04-15,304.7413635253906,10.62250793138987,-74.95510483828492
