municipio,año,fecha,temp_min,latitud,longitud
MALAMBO,2021,2021-12-10,297.6521504720052,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-10,297.35919189453125,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-10,297.5982971191406,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-10,297.0938031231915,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-10,297.478759765625,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-10,297.2242126464844,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-10,298.3554382324219,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-10,297.17635656286166,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-10,297.7853088378906,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-10,297.0796203613281,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-10,297.50372314453125,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-10,297.478759765625,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-10,297.74951171875,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-10,297.61004638671875,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-10,297.4526062011719,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-10,297.0808614095052,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-11,298.3339538574219,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-11,296.9532775878906,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-11,297.3960876464844,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-11,296.9666748046875,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-11,297.3529663085937,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-11,296.94781494140625,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-11,296.9541727701823,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-11,297.57483927408856,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-11,297.1917724609375,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-11,297.5032958984375,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-11,296.95197889539935,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-11,297.38147989908856,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-11,297.104736328125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-11,298.2752685546875,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-11,297.0355665418837,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-11,297.6878662109375,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-11,296.96075439453125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-11,297.3538513183594,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-11,297.38147989908856,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-11,297.6836853027344,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-11,297.47369384765625,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-11,297.3891906738281,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-11,296.9539489746094,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-12,298.2156066894531,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-12,296.79559326171875,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-12,297.15704345703125,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-12,296.7369384765625,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-12,297.25555419921875,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-12,296.86138916015625,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-12,296.84872097439234,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-12,297.4614562988281,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-12,297.31109619140625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-12,297.35546875,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-12,296.84851639359084,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-12,297.22901407877606,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-12,296.9115600585937,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-12,298.1557006835937,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-12,297.0030506275318,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-12,297.5359802246094,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-12,296.8493347167969,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-12,297.23876953125,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-12,297.22901407877606,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-12,297.59283447265625,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-12,297.2481689453125,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-12,297.4315185546875,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-12,296.83543904622394,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-13,297.9684143066406,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-13,296.3053894042969,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-13,296.7631530761719,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-13,296.3602600097656,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-13,297.0494079589844,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-13,296.6039428710937,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-13,296.5296054416233,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-13,297.16880289713544,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-13,296.8314819335937,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-13,296.8938293457031,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-13,296.5356999150029,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-13,296.7527770996094,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-13,296.4926147460937,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-13,297.909912109375,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-13,296.6241364655671,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-13,297.0591125488281,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-13,296.5113220214844,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-13,296.82435099283856,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-13,296.7527770996094,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-13,297.3978881835937,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-13,296.87841796875,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-13,297.23077392578125,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-13,296.4735514322917,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-14,298.4107360839844,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-14,296.466796875,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-14,296.7113342285156,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-14,296.3099975585937,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-14,297.4205322265625,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-14,296.8477783203125,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-14,296.7364366319444,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-14,297.4630432128906,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-14,297.5789489746094,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-14,297.0464172363281,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-14,296.7510805483217,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-14,296.9101969401042,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-14,296.5375366210937,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-14,298.34619140625,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-14,297.0026301631221,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-14,297.2173767089844,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-14,296.6925048828125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-14,297.03978474934894,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-14,296.9101969401042,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-14,297.751220703125,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-14,296.8290710449219,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-14,297.5531616210937,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-14,296.6690266927083,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-15,298.2226257324219,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-15,296.4814453125,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-15,297.4134521484375,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-15,296.9797058105469,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-15,297.2619323730469,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-15,296.79852294921875,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-15,296.7087673611111,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-15,297.36431884765625,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-15,297.4115600585937,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-15,297.0588684082031,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-15,296.71974238642935,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-15,296.9237976074219,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-15,296.8974609375,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-15,298.15972900390625,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-15,296.932056568287,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-15,297.2310791015625,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-15,296.67584228515625,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-15,297.4373372395833,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-15,296.9237976074219,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-15,297.5999450683594,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-15,297.48699951171875,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-15,297.61651611328125,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-15,296.6519368489583,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-16,298.2440795898437,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-16,296.748779296875,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-16,297.5112609863281,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-16,297.0722351074219,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-16,297.2807006835937,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-16,296.84832763671875,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-16,296.8241916232639,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-16,297.46396891276044,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-16,297.3383483886719,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-16,297.3112487792969,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-16,296.8259526005498,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-16,297.1842041015625,10.767401673530337,-74.85414835065527
